Stationsnamn;Stationsnummer;Latitud;Longitud;Aktiv
Abborrberg;157010;65.4833;16.6000;0
Abild;62570;56.9512;12.7909;0
Abisko;188800;68.3557;18.8206;0
Abisko Aut;188790;68.3555;18.8211;0
Abraur;158990;65.9867;18.9236;1
Adak D;158820;65.3830;18.6201;1
Adelsî A;97280;59.3582;17.5244;0
Adolfsfors;92480;59.8000;12.2333;0
Agî;117330;61.5500;17.4666;0
Aktse;178740;67.1498;18.3061;0
AlingsÜs D;72560;57.8898;12.5520;1
Allavaara;180790;67.2594;20.1205;0
Allgunnen;75040;57.0666;15.9681;0
Almagrundet A;99090;59.1547;19.1298;0
Almdalen;134590;63.9967;14.6701;1
Almunge;98560;59.9341;18.0499;1
Alnarp;53640;55.6500;13.0833;0
Alnarp Fruktavdelning;53390;55.6571;13.0923;0
Alstrum;93720;59.4833;13.6000;0
Aluokta;178790;67.3094;18.9011;0
Alvhem;82000;58.0067;12.1454;0
Ambjîrnarp;73250;57.4166;13.2833;0
AmmarnÑs D;156990;65.9621;16.2184;0
Andersviksberg;103220;60.3694;13.8749;1
Aneboda I;74730;57.1166;14.5666;0
Aneby;74510;57.8232;14.8913;0
Ankarvattnet;144650;64.8666;14.2500;0
Ankarvattnet D;144530;64.8779;14.2293;1
Arboga;95230;59.3833;15.8333;0
Arjeplog A;167710;66.0526;17.8434;0
Arjeplog-Myrheden D;158980;65.9799;18.2287;1
Arlanda;97390;59.6600;17.9208;0
Arvidsjaur A;159880;65.5953;19.2682;0
Arvika;92400;59.6658;12.5910;0
Arvika A;92410;59.6747;12.6381;0
Arvingetorp;75280;57.4496;15.0344;0
Aske;97630;59.6166;17.6500;0
Asker D;95100;59.1594;15.4673;1
Askersund;84660;58.8800;14.9000;0
Askeryd;75480;57.8055;14.9925;0
AspeÜ;137220;63.4002;17.4947;1
Asphyttan;94370;59.6112;14.1859;0
Austers D;78480;57.8103;18.6335;1
Avasjî-BorgafjÑll D;145500;64.8366;15.0918;1
Avesta;106070;60.1419;16.1747;0
Axelfors;73270;57.4500;13.1000;0
Backa;105550;60.9230;15.1145;0
Backarna;117710;61.5666;16.3000;0
Backe D;136490;63.8148;16.4058;1
Bakarebo D;63550;56.9029;13.6960;1
BaksjînÑset;132420;63.7062;12.6526;0
Ballastviken;166840;66.4900;16.5346;0
Balsjî D;139570;63.9206;19.0703;1
Baramossa;62220;56.3840;12.9839;1
Barkarby;97260;59.4166;17.8833;0
BarkÜkra;62180;56.2900;12.8463;0
Bastorp;82540;58.9040;12.0380;0
Beateberg;98410;59.6576;18.4206;0
Beddingestrand;53190;55.3606;13.4343;0
Bengtsfors D;92040;59.0459;12.2326;1
Berg;74080;57.1210;14.6931;1
Berga;98610;59.0833;18.1166;0
Bergaholm;97130;59.2291;17.7164;0
Bergfors;189740;68.1500;19.8000;0
BergnÑsudden;158900;65.6666;18.1500;0
Bergsjî;117570;61.9488;17.0669;1
Bergvik;116160;61.2602;16.8350;0
Bersbo;86160;58.2635;16.0417;0
Biellojaure;155950;65.7992;15.7208;0
Billingsfors;82590;58.9884;12.2589;0
BingsgÑrde;62240;56.4000;12.9666;0
BispgÜrden;136010;63.0335;16.5536;0
BispgÜrden;136020;63.0295;16.6232;0
Bjurfors;106080;60.1316;16.1282;0
Bjurholm;139560;63.9329;19.2200;0
BjursÜs-SÜgsbo;105460;60.7746;15.3844;0
BjurÜker;116650;61.8500;16.5833;0
Bjurîklubb;151290;64.4806;21.5787;0
Bjurîklubb A;151280;64.4812;21.5791;0
Bjuv D;62050;56.0958;12.8862;0
BjÑrbolund;62730;56.1833;12.7666;0
BjÑrka-SÑby;85160;58.2662;15.7431;0
BjÑrnum D;63180;56.2907;13.7464;1
Bjîrka;53650;55.7000;13.6333;0
Bjîrkbacken;155920;65.7456;15.5515;0
Bjîrkede;142030;64.0432;12.9414;0
Bjîrkfors;163680;65.9166;23.4666;0
Bjîrkfors;163980;65.9333;23.4666;0
Bjîrkliden;188680;68.3800;18.6800;0
Bjîrkudden;178820;67.3956;18.7156;0
Bjîrkvik;155850;65.4987;15.5589;0
Bjîrkvik D;86500;58.8205;16.4998;1
Bjîrn;107620;60.6333;17.9833;0
BjîrnegÜrden;83640;58.5166;13.0666;0
Bjîrnliden;122020;62.0444;12.3953;0
Bjîrnstorp;53380;55.6254;13.4122;1
Bjîrsarv;126020;62.0310;16.2995;0
Blaiken D;156780;65.2511;16.8570;1
Blaikliden;155710;65.0464;15.7486;0
Blankastrîm;75140;57.2166;15.9166;0
Blattnicksele;157800;65.3371;17.4606;0
Blomskog;92170;59.2891;12.0542;0
Blomskog A;92130;59.2217;12.0780;0
Boarp;62720;56.3333;12.9333;0
Boda;117640;61.5833;17.0000;0
Boden;161940;65.8113;21.6860;0
Bogen;102040;60.0591;12.5558;0
Bogesund;98240;59.4084;18.2314;0
Boksjî;155900;65.6772;15.8245;0
Bollebygd;72400;57.6610;12.5521;0
Bollerup;54300;55.4907;14.0476;1
BollnÑs;116730;61.3500;16.4166;0
Bolmen;63490;56.8145;13.7003;0
Bolmsî;73020;57.0152;13.7280;0
Bomsund;135090;63.1506;15.7568;0
Bondstorp D;73340;57.5892;13.9285;0
Borgholm;66530;56.8833;16.6666;0
Borgunda;83170;58.2880;13.7995;0
Borgvattnet D;135260;63.4248;15.8283;1
Borgviksbruk;92210;59.3534;12.9623;0
BorgÑrdet;105440;60.7344;15.9083;0
BorlÑnge Aut;105280;60.4889;15.4324;0
BorlÑnge D;105310;60.4920;15.4274;1
BorlÑnge Flygplats;105260;60.4294;15.5079;0
